nop_move_loadi	LOADI_1 MOVE RETURN STOP
loadl_float	LOADL RETURN STOP
loadi_small	ADD LOADI_0 LOADI_1 LOADI_2 LOADI_3 LOADI_4 LOADI_5 LOADI_7 LOADI__1 MOVE RETURN STOP
loadi16	LOADI16 RETURN STOP
loadi32	LOADI32 RETURN STOP
loadineg	LOADI16 RETURN STOP
loadsym_nil_self_true_false	LOADF LOADNIL LOADSYM LOADT MOVE RETURN SEND0 STOP
getgv_setgv	GETGV LOADI_1 RETURN SETGV STOP
getiv_setiv	CLASS ENTER EXEC GETCONST GETIV LOADI_1 LOADNIL MOVE RETURN SEND0 SETIV STOP TDEF
getcv_setcv	CLASS ENTER EXEC GETCONST GETCV LOADI_1 LOADNIL MOVE RETURN SEND0 SETCV STOP TDEF
getconst_setconst	GETCONST LOADI_1 RETURN SETCONST STOP
getmcnst_setmcnst	CLASS GETCONST GETMCNST LOADI_1 LOADNIL RETURN SETMCNST STOP
getupvar_setupvar	ARRAY BLOCK ENTER LOADI_1 LOADI_2 RETURN SENDB SETUPVAR STOP
jmp_jmpif_jmpnot	JMP JMPNOT LOADI_1 LOADI_2 MOVE RETURN STOP
jmpnil	JMPNIL LOADI_1 LOADNIL MOVE RETURN SEND0 STOP
jmpuw_break	ADDILV JMP JMPUW LOADI_0 NOP RETURN STOP
sendv_send_send0	ARRAY LOADI_1 LOADI_2 RETURN SEND0 STOP STRING
ssend_ssend0	ADD ENTER LOADI_1 RETURN SSEND SSEND0 STOP TDEF
sendb_ssendb_blkpush	BLKCALL BLKPUSH BLOCK ENTER LOADI_1 RETURN SSENDB STOP TDEF
call_blkcall	BLOCK ENTER GETCONST LOADI_1 MOVE RETURN SEND SENDB STOP
super_argary	ARGARY CLASS ENTER EXEC GETCONST LOADI_1 LOADNIL RETURN SEND SEND0 STOP SUPER TDEF
enter_args	ENTER JMP JMPIF KARG KEY_P LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SSEND STOP TDEF
keyend_karg_key_p	ENTER JMP JMPIF KARG KEYEND KEY_P LOADI_1 LOADI_2 LOADSYM RETURN SSEND STOP TDEF
return_retnil	ENTER LOADI_1 RETNIL RETURN SSEND0 STOP TDEF
retself_rettrue_retfalse	CLASS ENTER EXEC GETCONST JMP JMPNOT LOADI_0 LOADI_1 LOADNIL MOVE RETFALSE RETSELF RETTRUE RETURN SEND0 STOP TDEF
return_blk	ENTER EXCEPT GETGV GETMCNST JMP JMPNOT LOADI_1 OCLASS RAISEIF RESCUE RETURN RETURN_BLK SETGV SSEND0 STOP TDEF
break_returnblk	ARRAY BLOCK BREAK ENTER LOADI_1 LOADI_2 RETURN SENDB SSEND0 STOP TDEF
add_addi_sub_subi	ADDI ADDILV LOADI_1 MOVE RETURN STOP SUBI SUBILV
addilv_subilv	ADD ADDI ENTER LOADI_1 MOVE RETURN SSEND STOP SUBI TDEF
mul_div	DIV LOADI_2 LOADI_3 LOADI_6 MUL RETURN STOP
eq_lt_le_gt_ge	EQ GE GT JMP JMPNOT LE LOADI_0 LOADI_1 LOADI_2 LT RETURN STOP
array_array2_aref_aset	ADD ARRAY2 GETIDX GETIDX0 LOADI LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SETIDX STOP
arypush_arycat_arysplat	ADD ARRAY ARRAY2 ARYCAT ARYPUSH ARYSPLAT ENTER LOADI_1 LOADI_2 LOADI_3 LOADI_4 MOVE RETURN SEND0 SSEND STOP TDEF
apost_aref	ARRAY2 LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SEND0 STOP
string_strcat	LOADI_1 MOVE RETURN STOP STRCAT STRING
intern	INTERN LOADI_1 MOVE RETURN SEND0 STOP STRCAT STRING
hash_hashadd_hashcat	HASH HASHADD HASHCAT LOADI_1 LOADI_2 LOADI_3 LOADSYM MOVE RETURN SEND0 STOP
lambda_block	ENTER LAMBDA LOADI_1 MOVE RETURN SEND STOP
range_inc_exc	ADD LOADI_1 LOADI_3 RANGE_EXC RANGE_INC RETURN SEND0 STOP
oclass_class_module	CLASS LOADI_1 LOADNIL MODULE RETURN STOP
exec_tdef_sdef_method_def	ADD CLASS ENTER EXEC GETCONST LOADI_1 LOADI_2 LOADNIL LOADSELF RETURN SDEF SEND0 STOP TDEF
sclass_tclass	CLASS ENTER EXEC GETCONST LOADI_1 LOADNIL LOADSELF RETURN SCLASS SEND0 STOP TDEF
alias_undef	ALIAS CLASS ENTER EXEC GETCONST LOADI_1 LOADNIL RETNIL RETURN SEND0 STOP TDEF
except_rescue_raiseif	EXCEPT GETCONST GETGV JMP JMPIF MOVE RAISEIF RESCUE RETURN SEND0 SETGV SSEND STOP STRING
stop	LOADI_1 RETURN STOP
getidx_setidx_getidx0	ADD ARRAY2 GETIDX GETIDX0 LOADI_0 LOADI_1 LOADI_2 LOADI_5 MOVE RETURN SETIDX STOP
matcherr_casein	JMP JMPNOT LOADF LOADI LOADI_1 LOADI_2 MATCHERR MOVE RETURN SEND STOP
ext1	ARRAY2 EXT1 GETIDX LOADI LOADI_0 LOADI_1 LOADI_2 LOADI_3 LOADI_4 LOADI_5 LOADI_6 LOADI_7 MOVE RETURN STOP
ext2	EXT2 GETIV LOADI LOADI16 LOADI_0 LOADI_1 LOADI_2 LOADI_3 LOADI_4 LOADI_5 LOADI_6 LOADI_7 RETURN SETIV STOP
ext3	ADD ENTER EXT1 EXT2 EXT3 GETIV LOADI LOADI_0 LOADI_1 LOADI_2 LOADI_3 LOADI_4 LOADI_5 LOADI_6 LOADI_7 RETURN SETIV SSEND0 STOP TDEF
