move_and_load	int:1	LOADI_1 MOVE RETURN STOP
small_integers	int:27	ADD LOADI_0 LOADI_1 LOADI_2 LOADI_3 LOADI_4 LOADI_5 LOADI_6 LOADI_7 LOADI__1 MOVE RETURN STOP
wide_integers	int:70293	ADD LOADI16 LOADI32 LOADINEG MOVE RETURN STOP
float_from_pool	int:1	LOADL RETURN STOP
singletons	str:abc	JMP JMPNOT LOADF LOADNIL LOADSYM LOADT MOVE RETURN SEND0 STOP
global_variable	int:21	GETGV LOADI RETURN SETGV STOP
instance_variable	int:5	CLASS ENTER EXEC GETCONST GETIV LOADI_5 LOADNIL MOVE RETURN SEND0 SETIV STOP TDEF
class_variable	int:6	CLASS ENTER EXEC GETCONST GETCV LOADI_6 LOADNIL MOVE RETURN SEND0 SETCV STOP TDEF
constant	int:7	GETCONST LOADI_7 RETURN SETCONST STOP
scoped_constant	int:8	CLASS GETCONST GETMCNST LOADI LOADNIL RETURN SETMCNST STOP
toplevel_scope	int:9	GETMCNST LOADI OCLASS RETURN SETMCNST STOP
upvalue	int:10	ARRAY BLOCK ENTER GETUPVAR LOADI LOADI_0 LOADI_1 RETURN SENDB SETUPVAR STOP
branch_if_else	int:11	JMP JMPNOT LOADI LOADI_1 MOVE RETURN STOP
branch_or	int:12	JMPIF LOADI LOADNIL MOVE RETURN STOP
branch_on_nil	int:13	JMPNIL LOADI LOADNIL MOVE RETURN SEND0 STOP
while_loop	int:2	ADDILV JMP JMPNOT LOADI_0 LOADI_2 LT MOVE NOP RETURN STOP
break_from_block	int:1	ARRAY BLOCK BREAK ENTER LOADI_0 LOADI_1 LOADI_2 LOADNIL RETURN SENDB SETUPVAR STOP
send_forms	int:5	ADD ARRAY ENTER LOADI_1 LOADI_2 RETURN SEND0 SSEND SSEND0 STOP TDEF
yield_to_block	int:6	BLKCALL BLKPUSH BLOCK ENTER LOADI_2 LOADI_3 MOVE MUL RETURN SSENDB STOP TDEF
block_object	int:14	ENTER LAMBDA LOADI_2 LOADI_7 MOVE MUL RETURN SEND STOP
super_call	int:16	ARGARY CLASS ENTER EXEC GETCONST LOADI LOADI_2 LOADNIL MOVE MUL RETURN SEND SEND0 STOP SUPER TDEF
keyword_arguments	int:3	ADD ENTER KARG KEYEND LOADI_1 LOADI_2 LOADSYM MOVE RETURN SSEND STOP TDEF
returns	int:4	CLASS ENTER EXEC GETCONST JMP JMPNOT LOADI_0 LOADI_4 LOADNIL MOVE RETNIL RETTRUE RETURN SEND0 STOP TDEF
